territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
Comuna 16,Congreso 2026,Cámara,NA,1,32091,0.24220884662674502,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,14375,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,3298,1060,842,468,33151,34461,11077,33.413773340170735,43.36219118578625,3.197490271786673,4.128668353476972,0.757791153373255
Comuna 16,Congreso 2026,Cámara,NA,4,71,0.14064669708391195,9,PARTIDO INDÍGENA COLOMBIANO P.I.C,13,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,13,47,6,12,118,136,0,0.0,11.016949152542372,39.83050847457627,7.110014104372354,0.859353302916088
Comuna 16,Congreso 2026,Cámara,NA,5,1167,0.15855256926225264,44,CONSEJO COMUNITARIO EL NARANJO,414,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,106,233,148,107,1400,1655,308,22.0,29.57142857142857,16.642857142857142,6.307056420801089,0.8414474307377473
Comuna 16,Congreso 2026,Senado,NA,0,33605,0.24677568576405817,16,PACTO HISTÓRICO SENADO,15421,PARTIDO CENTRO DEMOCRÁTICO,3293,1133,870,651,34738,36259,12128,34.91277563475157,44.39230813518337,3.261557948068398,4.052263078122285,0.7532243142359418
Comuna 16,Congreso 2026,Senado,NA,4,80,0.198125,9,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,23,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",18,58,11,12,138,161,5,3.6231884057971016,16.666666666666664,42.028985507246375,5.047318611987381,0.801875
Comuna 16,Presidencia 2026,Presidencia,1V,0,44043,0.44499196828608273,11,IVÁN CEPEDA CASTRO,25815,ABELARDO DE LA ESPRIELLA,13777,970,464,106,45013,45583,12038,26.743385244262768,57.35009886032923,2.1549330193499654,2.247231571058617,0.5550080317139172
Comuna 16,Presidencia 2026,Presidencia,2V,0,48276,0.5533409405982713,2,IVÁN CEPEDA CASTRO,32022,ABELARDO DE LA ESPRIELLA,16254,769,367,33,49045,49445,15768,32.15006626567438,65.29105923131819,1.5679478030380265,1.8072040700960996,0.4466590594017287
Comuna 17,Congreso 2026,Consultas,NA,0,34899,0.7478360532415006,3,LA GRAN CONSULTA POR COLOMBIA,29967,FRENTE POR LA VIDA,3030,0,2950,804,34899,38653,26937,77.18559271039285,85.86778990802028,0.0,1.3371914815626942,0.2521639467584994
Comuna 17,Congreso 2026,Cámara,NA,1,63152,0.16840778613917148,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,16709,PARTIDO CENTRO DEMOCRÁTICO,16156,1842,483,228,64994,65705,553,0.8508477705634365,25.708526940948396,2.834107763793581,5.937967732522796,0.8315922138608285
Comuna 17,Congreso 2026,Cámara,NA,4,68,0.21496539792387545,9,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",24,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,15,28,2,4,96,102,9,9.375,25.0,29.166666666666668,4.651911468812877,0.7850346020761245
Comuna 17,Congreso 2026,Cámara,NA,5,1878,0.2303160523566979,40,CONSEJO COMUNITARIO EL NARANJO,804,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,339,355,94,48,2233,2375,465,20.82400358262427,36.00537393640842,15.897895208240037,4.341859760826691,0.7696839476433022
Comuna 17,Congreso 2026,Senado,NA,0,66143,0.15715244578123724,16,PACTO HISTÓRICO SENADO,16640,PARTIDO CENTRO DEMOCRÁTICO,15942,1639,389,320,67782,68491,698,1.0297719158478653,24.549290372075184,2.4180460889321647,6.363248087096536,0.8428475542187628
Comuna 17,Congreso 2026,Senado,NA,4,99,0.21640648913376187,8,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",30,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,24,25,7,7,124,138,6,4.838709677419355,24.193548387096776,20.161290322580644,4.620933521923621,0.7835935108662382
Comuna 17,Presidencia 2026,Presidencia,1V,0,82652,0.38109483792831916,11,ABELARDO DE LA ESPRIELLA,42463,IVÁN CEPEDA CASTRO,26897,1214,192,52,83866,84110,15566,18.560560894760687,50.63196050843012,1.4475472778003005,2.624018749338431,0.6189051620716808
Comuna 17,Presidencia 2026,Presidencia,2V,0,83907,0.517055673871037,2,ABELARDO DE LA ESPRIELLA,49702,IVÁN CEPEDA CASTRO,34205,1752,180,14,85659,85853,15497,18.0915023523506,58.02309156072333,2.045319230903933,1.9340277082993929,0.482944326128963
Comuna 18,Congreso 2026,Consultas,NA,0,10852,0.6511120570177936,3,LA GRAN CONSULTA POR COLOMBIA,8608,FRENTE POR LA VIDA,1300,0,1374,869,10852,13095,7308,67.34242535938077,79.32178400294877,0.0,1.5358339462798059,0.3488879429822064
Comuna 18,Congreso 2026,Cámara,NA,1,36873,0.2519358455833005,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,16865,PARTIDO CENTRO DEMOCRÁTICO,4668,1110,829,472,37983,39284,12197,32.11173419687755,44.40144275070426,2.922360003159308,3.9692644676454276,0.7480641544166995
Comuna 18,Congreso 2026,Cámara,NA,4,161,0.22271517302573202,10,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,51,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",47,45,16,30,206,252,4,1.9417475728155338,24.75728155339806,21.844660194174757,4.490039840637451,0.777284826974268
Comuna 18,Congreso 2026,Cámara,NA,5,1016,0.23155108810217617,40,CONSEJO COMUNITARIO EL NARANJO,451,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,133,272,144,86,1288,1518,318,24.689440993788818,35.01552795031056,21.11801242236025,4.318701363902603,0.7684489118978238
Comuna 18,Congreso 2026,Senado,NA,0,38277,0.24729340830501179,16,PACTO HISTÓRICO SENADO,17456,PARTIDO CENTRO DEMOCRÁTICO,4621,1167,862,642,39444,40948,12835,32.539803265388905,44.25514653686239,2.9586248859142077,4.0437794393880475,0.7527065916949882
Comuna 18,Congreso 2026,Senado,NA,4,174,0.23464130003963535,9,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,66,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",37,66,24,37,240,301,29,12.083333333333334,27.500000000000004,27.500000000000004,4.261824324324325,0.7653586999603647
Comuna 18,Presidencia 2026,Presidencia,1V,0,52227,0.4307452739274778,11,IVÁN CEPEDA CASTRO,29561,ABELARDO DE LA ESPRIELLA,17001,1106,551,111,53333,53995,12560,23.550147188419928,55.427221420133876,2.0737629610185064,2.321557682762561,0.5692547260725223
Comuna 18,Presidencia 2026,Presidencia,2V,0,56774,0.5406195783722989,2,IVÁN CEPEDA CASTRO,36478,ABELARDO DE LA ESPRIELLA,20296,921,404,29,57695,58128,16182,28.0474911170812,63.22558280613572,1.5963255048097753,1.8497295325685519,0.4593804216277011
Comuna 19,Congreso 2026,Consultas,NA,0,25447,0.739622747691985,3,LA GRAN CONSULTA POR COLOMBIA,21712,FRENTE POR LA VIDA,2395,0,2308,761,25447,28516,19317,75.91071639093016,85.32243486462059,0.0,1.3520406222233294,0.260377252308015
Comuna 19,Congreso 2026,Cámara,NA,1,47824,0.1842204200544743,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,13978,PARTIDO CENTRO DEMOCRÁTICO,12590,1228,418,250,49052,49720,1388,2.829650167169534,28.49628965179809,2.5034657098589252,5.4282798818084235,0.8157795799455256
Comuna 19,Congreso 2026,Cámara,NA,4,61,0.16850309056705187,9,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,14,PARTIDO INDÍGENA COLOMBIANO P.I.C,13,28,3,5,89,97,1,1.1235955056179776,15.730337078651685,31.46067415730337,5.934609250398724,0.8314969094329481
Comuna 19,Congreso 2026,Cámara,NA,5,1129,0.2533976233308045,35,CONSEJO COMUNITARIO EL NARANJO,481,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,283,184,56,52,1313,1421,198,15.07996953541508,36.633663366336634,14.013709063214014,3.946366926632631,0.7466023766691955
Comuna 19,Congreso 2026,Senado,NA,0,49613,0.1723735386939761,16,PACTO HISTÓRICO SENADO,13923,PARTIDO CENTRO DEMOCRÁTICO,12318,1081,363,294,50694,51351,1605,3.166055154456149,27.464788732394368,2.132402256677319,5.801354474571373,0.8276264613060239
Comuna 19,Congreso 2026,Senado,NA,4,84,0.1760204081632653,10,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,23,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",17,29,8,3,113,124,6,5.3097345132743365,20.353982300884958,25.663716814159294,5.681159420289855,0.8239795918367347
Comuna 19,Presidencia 2026,Presidencia,1V,0,62243,0.382798677257488,11,ABELARDO DE LA ESPRIELLA,30736,IVÁN CEPEDA CASTRO,22435,821,185,55,63064,63304,8301,13.162818723836104,48.73779018140302,1.3018520867689964,2.6123392253190936,0.6172013227425119
Comuna 19,Presidencia 2026,Presidencia,2V,0,63962,0.5086481748619541,2,ABELARDO DE LA ESPRIELLA,36187,IVÁN CEPEDA CASTRO,27775,1199,185,20,65161,65366,8412,12.909562468347632,55.534752382560114,1.8400577032273908,1.9659954550537757,0.4913518251380459
Comuna 2,Congreso 2026,Consultas,NA,0,31675,0.7666343114541994,3,LA GRAN CONSULTA POR COLOMBIA,27569,FRENTE POR LA VIDA,2640,0,2880,859,31675,35414,24929,78.70244672454618,87.0370955011839,0.0,1.3044028750854344,0.23336568854580064
