territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,67,1113,270,1383,4.844540853217643
Comuna 10,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO DE PIZARRO ""CONCOPI""",15,1113,270,1383,1.0845986984815619
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE QUINAMAYO,6,1113,270,1383,0.43383947939262474
Comuna 10,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO DE TRUANDO - LA TERESITA ""COCOTRUMETE""",2,1113,270,1383,0.14461315979754158
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO EL NARANJO,479,1113,270,1383,34.63485177151121
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO KUSUTOMA - GENDE COKUMALU,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,146,1113,270,1383,10.556760665220535
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,46,1113,270,1383,3.3261026753434564
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO NEGROS UNIDOS,4,1113,270,1383,0.28922631959508316
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO NUEVA ESPERANZA,4,1113,270,1383,0.28922631959508316
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO PANAMÁ DE ARAUCA,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO RÍO DE GUADUAS - CHIGORODÓ,2,1113,270,1383,0.14461315979754158
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO UNIÍN DEL RÍO ROSARIO,7,1113,270,1383,0.5061460592913956
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO VEREDAS UNIDAS POR UN BIEN COMÚN,3,1113,270,1383,0.21691973969631237
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO LABORAL AFROCOLOMBIANO CLAF - BOGOTÁ,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,CRISTIANOS POR COLOMBIA AFROS,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",35,1113,270,1383,2.5307302964569773
Comuna 10,Congreso 2026,Cámara,NA,5,FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,5,1113,270,1383,0.3615328994938539
Comuna 10,Congreso 2026,Cámara,NA,5,"FUNDACIÓN ECOLÓGICA, RURAL Y URBANA DEL PACÍFICO ""FUNERPA""",2,1113,270,1383,0.14461315979754158
Comuna 10,Congreso 2026,Cámara,NA,5,FUNDACIÓN ORSUBA,17,1113,270,1383,1.2292118582791034
Comuna 10,Congreso 2026,Cámara,NA,5,"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",4,1113,270,1383,0.28922631959508316
Comuna 10,Congreso 2026,Cámara,NA,5,LOS SABANEROS DEL CORREGIMIENTO DE MINGUILLO,2,1113,270,1383,0.14461315979754158
Comuna 10,Congreso 2026,Cámara,NA,5,OEAFROBOL,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,PARTIDO DEMÓCRATA COLOMBIANO,3,1113,270,1383,0.21691973969631237
Comuna 10,Congreso 2026,Cámara,NA,5,PARTIDO ECOLOGISTA COLOMBIANO,77,1113,270,1383,5.567606652205351
Comuna 10,Congreso 2026,Cámara,NA,5,TODO ES POSIBLE,11,1113,270,1383,0.7953723788864787
Comuna 10,Congreso 2026,Senado,NA,0,AHORA COLOMBIA,2630,40700,1163,41863,6.282397343716409
Comuna 10,Congreso 2026,Senado,NA,0,ALIANZA POR COLOMBIA,3006,40700,1163,41863,7.18056517688651
Comuna 10,Congreso 2026,Senado,NA,0,COALICIÓN CAMBIO RADICAL - ALMA,2249,40700,1163,41863,5.372285789360533
Comuna 10,Congreso 2026,Senado,NA,0,COALICIÓN FUERZA CIUDADANA,160,40700,1163,41863,0.38219907794472446
Comuna 10,Congreso 2026,Senado,NA,0,COLOMBIA SEGURA Y PRÓSPERA,19,40700,1163,41863,0.04538614050593603
Comuna 10,Congreso 2026,Senado,NA,0,CREEMOS,87,40700,1163,41863,0.20782074863244393
Comuna 10,Congreso 2026,Senado,NA,0,FRENTE AMPLIO UNITARIO,707,40700,1163,41863,1.6888421756682512
Comuna 10,Congreso 2026,Senado,NA,0,LA LISTA DE OVIEDO - CON TODA POR COLOMBIA,155,40700,1163,41863,0.3702553567589518
Comuna 10,Congreso 2026,Senado,NA,0,MOVIMIENTO SALVACIÓN NACIONAL,2480,40700,1163,41863,5.924085708143229
Comuna 10,Congreso 2026,Senado,NA,0,PACTO HISTÓRICO SENADO,15598,40700,1163,41863,37.259632611136325
Comuna 10,Congreso 2026,Senado,NA,0,PARTIDO CENTRO DEMOCRÁTICO,5881,40700,1163,41863,14.048204858705779
Comuna 10,Congreso 2026,Senado,NA,0,PARTIDO CONSERVADOR COLOMBIANO,1399,40700,1163,41863,3.3418531877791846
Comuna 10,Congreso 2026,Senado,NA,0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,3753,40700,1163,41863,8.964957122040943
Comuna 10,Congreso 2026,Senado,NA,0,PARTIDO LIBERAL COLOMBIANO,2531,40700,1163,41863,6.04591166423811
Comuna 10,Congreso 2026,Senado,NA,0,PARTIDO POLÍTICO OXÍGENO,26,40700,1163,41863,0.062107350166017726
Comuna 10,Congreso 2026,Senado,NA,0,PATRIOTAS,19,40700,1163,41863,0.04538614050593603
Comuna 10,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,15,64,48,112,13.392857142857142
Comuna 10,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA,5,64,48,112,4.464285714285714
Comuna 10,Congreso 2026,Senado,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",3,64,48,112,2.6785714285714284
Comuna 10,Congreso 2026,Senado,NA,4,CABILDO INDÉGENA TEVIS,2,64,48,112,1.7857142857142856
Comuna 10,Congreso 2026,Senado,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",11,64,48,112,9.821428571428571
Comuna 10,Congreso 2026,Senado,NA,4,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",12,64,48,112,10.714285714285714
Comuna 10,Congreso 2026,Senado,NA,4,MOVIMIENTO SI,5,64,48,112,4.464285714285714
Comuna 10,Congreso 2026,Senado,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,9,64,48,112,8.035714285714286
Comuna 10,Congreso 2026,Senado,NA,4,TRIETNICO GOBERNATIVO TRIGO,2,64,48,112,1.7857142857142856
Comuna 10,Presidencia 2026,Presidencia,1V,0,ABELARDO DE LA ESPRIELLA,20298,51768,1054,52822,38.42717049714135
Comuna 10,Presidencia 2026,Presidencia,1V,0,CLAUDIA LÓPEZ,386,51768,1054,52822,0.7307561243421302
Comuna 10,Presidencia 2026,Presidencia,1V,0,GUSTAVO MATAMOROS CAMACHO,9,51768,1054,52822,0.017038355230775057
Comuna 10,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,25001,51768,1054,52822,47.330657680511905
Comuna 10,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,31,51768,1054,52822,0.058687668017114086
Comuna 10,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,3037,51768,1054,52822,5.749498315095983
Comuna 10,Presidencia 2026,Presidencia,1V,0,RAÚL SANTIAGO BOTERO JARAMILLO,203,51768,1054,52822,0.3843095679830374
Comuna 10,Presidencia 2026,Presidencia,1V,0,ROY LEONARDO BARRERAS MONTEALEGRE,36,51768,1054,52822,0.06815342092310023
Comuna 10,Presidencia 2026,Presidencia,1V,0,SERGIO FAJARDO VALDERRAMA,2652,51768,1054,52822,5.0206353413350495
Comuna 10,Presidencia 2026,Presidencia,1V,0,SONDRA MACOLLINS GARVIN PINTO,38,51768,1054,52822,0.07193972208549468
Comuna 10,Presidencia 2026,Presidencia,1V,0,ÓSCAR MAURICIO LIZCANO ARANGO,77,51768,1054,52822,0.1457725947521866
Comuna 10,Presidencia 2026,Presidencia,2V,0,ABELARDO DE LA ESPRIELLA,24023,54484,1032,55516,43.27220981338713
Comuna 10,Presidencia 2026,Presidencia,2V,0,IVÁN CEPEDA CASTRO,30461,54484,1032,55516,54.86886663304272
Comuna 11,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",805,9328,0,9328,8.629931389365352
Comuna 11,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,1311,9328,0,9328,14.054459691252145
Comuna 11,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,7212,9328,0,9328,77.31560891938251
Comuna 11,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,2277,33936,955,34891,6.526038233355306
Comuna 11,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,114,33936,955,34891,0.3267318219598177
Comuna 11,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,2994,33936,955,34891,8.58100942936574
Comuna 11,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,1933,33936,955,34891,5.540110630248488
Comuna 11,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,195,33936,955,34891,0.5588833796681092
Comuna 11,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",12,33936,955,34891,0.03439282336419134
Comuna 11,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,15153,33936,955,34891,43.42953770313262
