municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
001,CALI,07,Congreso 2026,Consultas,NA,0,6660.0,0.618413052692332,3,LA GRAN CONSULTA POR COLOMBIA,5115.0,FRENTE POR LA VIDA,964.0,0.0,907.0,492.0,6660.0,8059.0,4151.0,62.32732732732733,76.8018018018018,0.0,1.6170421947699607,0.38158694730766796
001,CALI,07,Congreso 2026,Cámara,NA,1,24451.0,0.26008810005280897,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,11481.0,PARTIDO CENTRO DEMOCRÁTICO,2560.0,802.0,515.0,194.0,25253.0,25962.0,8921.0,35.3264958618778,45.46390527858076,3.175860293826476,3.8448510323884766,0.739911899947191
001,CALI,07,Congreso 2026,Cámara,NA,4,38.0,0.1634349030470914,8,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",10.0,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,6.0,29.0,2.0,1.0,67.0,70.0,4.0,5.970149253731343,14.925373134328357,43.28358208955223,6.118644067796611,0.8365650969529086
001,CALI,07,Congreso 2026,Cámara,NA,5,591.0,0.23305304325170847,37,CONSEJO COMUNITARIO EL NARANJO,265.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,68.0,140.0,69.0,34.0,731.0,834.0,197.0,26.949384404924757,36.25170998632011,19.151846785225718,4.290868662547144,0.7669469567482915
001,CALI,07,Congreso 2026,Senado,NA,0,25149.0,0.26160690183440966,16,PACTO HISTÓRICO SENADO,11989.0,PARTIDO CENTRO DEMOCRÁTICO,2515.0,898.0,531.0,318.0,26047.0,26896.0,9474.0,36.37271086881407,46.02833339732023,3.4476139286674092,3.8225291190252078,0.7383930981655904
001,CALI,07,Congreso 2026,Senado,NA,4,50.0,0.19280000000000003,9,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,14.0,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",12.0,26.0,2.0,6.0,76.0,84.0,2.0,2.631578947368421,18.421052631578945,34.21052631578947,5.186721991701244,0.8071999999999999
001,CALI,07,Presidencia 2026,Presidencia,1V,0,31610.0,0.440536915774254,11,IVÁN CEPEDA CASTRO,18496.0,ABELARDO DE LA ESPRIELLA,9681.0,655.0,281.0,57.0,32265.0,32603.0,8815.0,27.320626065395942,57.325275065860836,2.030063536339687,2.2699573275090383,0.559463084225746
001,CALI,07,Presidencia 2026,Presidencia,2V,0,34057.0,0.551583697657824,2,IVÁN CEPEDA CASTRO,22498.0,ABELARDO DE LA ESPRIELLA,11559.0,586.0,260.0,15.0,34643.0,34918.0,10939.0,31.576364633547904,64.9424126086078,1.6915394163323039,1.812961485711552,0.448416302342176
001,CALI,08,Congreso 2026,Consultas,NA,0,5035.0,0.6287040961531445,3,LA GRAN CONSULTA POR COLOMBIA,3909.0,FRENTE POR LA VIDA,673.0,0.0,804.0,385.0,5035.0,6224.0,3236.0,64.27010923535254,77.63654419066535,0.0,1.590573381211775,0.3712959038468555
001,CALI,08,Congreso 2026,Cámara,NA,1,22762.0,0.2896810152428185,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,11511.0,PARTIDO CENTRO DEMOCRÁTICO,2239.0,665.0,467.0,256.0,23427.0,24150.0,9272.0,39.57826439578264,49.13561275451402,2.83860502838605,3.452072960879997,0.7103189847571816
001,CALI,08,Congreso 2026,Cámara,NA,4,24.0,0.1701388888888889,9,PARTIDO INDÍGENA COLOMBIANO P.I.C,7.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",4.0,15.0,3.0,2.0,39.0,44.0,3.0,7.6923076923076925,17.94871794871795,38.46153846153847,5.877551020408163,0.8298611111111112
001,CALI,08,Congreso 2026,Cámara,NA,5,480.0,0.2306857638888889,30,CONSEJO COMUNITARIO EL NARANJO,216.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,46.0,145.0,101.0,49.0,625.0,775.0,170.0,27.200000000000003,34.56,23.200000000000003,4.334901222953904,0.7693142361111112
001,CALI,08,Congreso 2026,Senado,NA,0,23366.0,0.29133663904392576,16,PACTO HISTÓRICO SENADO,11945.0,PARTIDO CENTRO DEMOCRÁTICO,2115.0,797.0,445.0,356.0,24163.0,24964.0,9830.0,40.68203451558167,49.43508670281008,3.2984314861565203,3.4324553316798125,0.7086633609560742
001,CALI,08,Congreso 2026,Senado,NA,4,49.0,0.24947938359017074,9,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",21.0,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,7.0,32.0,16.0,8.0,81.0,105.0,14.0,17.28395061728395,25.925925925925924,39.50617283950617,4.008347245409015,0.7505206164098293
001,CALI,08,Presidencia 2026,Presidencia,1V,0,29771.0,0.46444874059936614,11,IVÁN CEPEDA CASTRO,18328.0,ABELARDO DE LA ESPRIELLA,8523.0,625.0,285.0,56.0,30396.0,30737.0,9805.0,32.257533886037635,60.29740755362548,2.056191604158442,2.153090131560074,0.5355512594006339
