territorio_nombre,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
Comuna 2,RAÚL SANTIAGO BOTERO JARAMILLO,230,0,-230,75592,80220,0.30426500158746955,0.0,-0.30426500158746955
Comuna 2,ROY LEONARDO BARRERAS MONTEALEGRE,64,0,-64,75592,80220,0.08466504391999154,0.0,-0.08466504391999154
Comuna 2,SERGIO FAJARDO VALDERRAMA,4357,0,-4357,75592,80220,5.763837443115674,0.0,-5.763837443115674
Comuna 2,SONDRA MACOLLINS GARVIN PINTO,29,0,-29,75592,80220,0.038363848026246164,0.0,-0.038363848026246164
Comuna 2,VOTO EN BLANCO,1059,1369,310,75592,80220,1.40094189861361,1.7065569683370732,0.3056150697234632
Comuna 2,ÓSCAR MAURICIO LIZCANO ARANGO,61,0,-61,75592,80220,0.08069636998624193,0.0,-0.08069636998624193
Comuna 20,ABELARDO DE LA ESPRIELLA,6163,7628,1465,25957,29597,23.743113610971992,25.772882386728384,2.0297687757563914
Comuna 20,CLAUDIA LÓPEZ,147,0,-147,25957,29597,0.566321223562045,0.0,-0.566321223562045
Comuna 20,GUSTAVO MATAMOROS CAMACHO,4,0,-4,25957,29597,0.015410101321416188,0.0,-0.015410101321416188
Comuna 20,IVÁN CEPEDA CASTRO,16910,21556,4646,25957,29597,65.14620333628693,72.83170591614015,7.685502579853221
Comuna 20,MIGUEL URIBE LONDOÑO,31,0,-31,25957,29597,0.11942828524097546,0.0,-0.11942828524097546
Comuna 20,PALOMA VALENCIA LASERNA,1198,0,-1198,25957,29597,4.615325345764148,0.0,-4.615325345764148
Comuna 20,RAÚL SANTIAGO BOTERO JARAMILLO,176,0,-176,25957,29597,0.6780444581423123,0.0,-0.6780444581423123
Comuna 20,ROY LEONARDO BARRERAS MONTEALEGRE,15,0,-15,25957,29597,0.057787879955310706,0.0,-0.057787879955310706
Comuna 20,SERGIO FAJARDO VALDERRAMA,675,0,-675,25957,29597,2.600454597988982,0.0,-2.600454597988982
Comuna 20,SONDRA MACOLLINS GARVIN PINTO,19,0,-19,25957,29597,0.0731979812767269,0.0,-0.0731979812767269
Comuna 20,VOTO EN BLANCO,568,413,-155,25957,29597,2.188234387641099,1.395411697131466,-0.7928226905096327
Comuna 20,ÓSCAR MAURICIO LIZCANO ARANGO,51,0,-51,25957,29597,0.19647879184805642,0.0,-0.19647879184805642
Comuna 21,ABELARDO DE LA ESPRIELLA,8649,10442,1793,44090,50476,19.616693127693356,20.6870591964498,1.0703660687564422
Comuna 21,CLAUDIA LÓPEZ,271,0,-271,44090,50476,0.6146518484917215,0.0,-0.6146518484917215
Comuna 21,GUSTAVO MATAMOROS CAMACHO,20,0,-20,44090,50476,0.04536176003628941,0.0,-0.04536176003628941
Comuna 21,IVÁN CEPEDA CASTRO,30927,39363,8436,44090,50476,70.14515763211612,77.98359616451383,7.838438532397703
Comuna 21,MIGUEL URIBE LONDOÑO,47,0,-47,44090,50476,0.1066001360852801,0.0,-0.1066001360852801
Comuna 21,PALOMA VALENCIA LASERNA,1681,0,-1681,44090,50476,3.812655931050125,0.0,-3.812655931050125
Comuna 21,RAÚL SANTIAGO BOTERO JARAMILLO,279,0,-279,44090,50476,0.6327965525062372,0.0,-0.6327965525062372
Comuna 21,ROY LEONARDO BARRERAS MONTEALEGRE,30,0,-30,44090,50476,0.06804264005443411,0.0,-0.06804264005443411
Comuna 21,SERGIO FAJARDO VALDERRAMA,1043,0,-1043,44090,50476,2.3656157858924924,0.0,-2.3656157858924924
Comuna 21,SONDRA MACOLLINS GARVIN PINTO,46,0,-46,44090,50476,0.10433204808346563,0.0,-0.10433204808346563
Comuna 21,VOTO EN BLANCO,1015,671,-344,44090,50476,2.3021093218416873,1.3293446390363737,-0.9727646828053136
Comuna 21,ÓSCAR MAURICIO LIZCANO ARANGO,82,0,-82,44090,50476,0.18598321614878657,0.0,-0.18598321614878657
Comuna 22,ABELARDO DE LA ESPRIELLA,16670,19074,2404,24381,24389,68.37291333415364,78.20738857681742,9.834475242663785
Comuna 22,CLAUDIA LÓPEZ,123,0,-123,24381,24389,0.5044912021656207,0.0,-0.5044912021656207
Comuna 22,IVÁN CEPEDA CASTRO,3522,4921,1399,24381,24389,14.44567491079119,20.177129033580712,5.731454122789522
Comuna 22,MIGUEL URIBE LONDOÑO,1,0,-1,24381,24389,0.004101554489151388,0.0,-0.004101554489151388
Comuna 22,PALOMA VALENCIA LASERNA,2073,0,-2073,24381,24389,8.502522456010828,0.0,-8.502522456010828
Comuna 22,RAÚL SANTIAGO BOTERO JARAMILLO,30,0,-30,24381,24389,0.12304663467454166,0.0,-0.12304663467454166
Comuna 22,ROY LEONARDO BARRERAS MONTEALEGRE,8,0,-8,24381,24389,0.032812435913211105,0.0,-0.032812435913211105
Comuna 22,SERGIO FAJARDO VALDERRAMA,1759,0,-1759,24381,24389,7.214634346417292,0.0,-7.214634346417292
Comuna 22,SONDRA MACOLLINS GARVIN PINTO,9,0,-9,24381,24389,0.03691399040236249,0.0,-0.03691399040236249
Comuna 22,VOTO EN BLANCO,178,394,216,24381,24389,0.7300766990689471,1.6154823896018695,0.8854056905329224
Comuna 22,ÓSCAR MAURICIO LIZCANO ARANGO,8,0,-8,24381,24389,0.032812435913211105,0.0,-0.032812435913211105
Comuna 3,ABELARDO DE LA ESPRIELLA,8780,10549,1769,21157,22621,41.49926738195396,46.63365898943459,5.13439160748063
Comuna 3,CLAUDIA LÓPEZ,118,0,-118,21157,22621,0.5577350285957366,0.0,-0.5577350285957366
Comuna 3,GUSTAVO MATAMOROS CAMACHO,2,0,-2,21157,22621,0.009453136077893842,0.0,-0.009453136077893842
