_valle,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO VEREDAS UNIDAS POR UN BIEN COMÚN,103,40040,9935,49975,0.2061030515257629
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO LABORAL AFROCOLOMBIANO CLAF - BOGOTÁ,46,40040,9935,49975,0.09204602301150576
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CRISTIANOS POR COLOMBIA AFROS,144,40040,9935,49975,0.288144072036018
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",1215,40040,9935,49975,2.4312156078039022
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,209,40040,9935,49975,0.41820910455227617
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,"FUNDACIÓN ECOLÓGICA, RURAL Y URBANA DEL PACÍFICO ""FUNERPA""",113,40040,9935,49975,0.22611305652826416
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,FUNDACIÓN ORSUBA,866,40040,9935,49975,1.7328664332166084
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",184,40040,9935,49975,0.36818409204602304
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,LOS SABANEROS DEL CORREGIMIENTO DE MINGUILLO,114,40040,9935,49975,0.22811405702851426
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,OEAFROBOL,39,40040,9935,49975,0.07803901950975488
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,OEAPUN,20,40040,9935,49975,0.04002001000500251
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,OSAVIPLAR,27,40040,9935,49975,0.05402701350675338
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,PARTIDO DEMÓCRATA COLOMBIANO,199,40040,9935,49975,0.3981990995497749
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,PARTIDO ECOLOGISTA COLOMBIANO,2211,40040,9935,49975,4.424212106053027
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,TODO ES POSIBLE,690,40040,9935,49975,1.3806903451725863
VALLE DEL CAUCA,Congreso 2026,Senado,NA,0,AHORA COLOMBIA,86875,1675721,44681,1720402,5.049691874340997
VALLE DEL CAUCA,Congreso 2026,Senado,NA,0,ALIANZA POR COLOMBIA,108396,1675721,44681,1720402,6.30062043638638
