municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
001,CALI,02,Congreso 2026,Cámara,NA,4,ACMIZSAM,1,43,48.0,91.0,1.098901098901099
001,CALI,02,Congreso 2026,Cámara,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,5,43,48.0,91.0,5.4945054945054945
001,CALI,02,Congreso 2026,Cámara,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",7,43,48.0,91.0,7.6923076923076925
001,CALI,02,Congreso 2026,Cámara,NA,4,CABILDO INDÉGENA TEVIS,4,43,48.0,91.0,4.395604395604396
001,CALI,02,Congreso 2026,Cámara,NA,4,FUERZA ANCESTRAL,2,43,48.0,91.0,2.197802197802198
001,CALI,02,Congreso 2026,Cámara,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",8,43,48.0,91.0,8.791208791208792
001,CALI,02,Congreso 2026,Cámara,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,11,43,48.0,91.0,12.087912087912088
001,CALI,02,Congreso 2026,Cámara,NA,4,PARTIDO INDÉGENA ZENÚ (PIZ),1,43,48.0,91.0,1.098901098901099
001,CALI,02,Congreso 2026,Cámara,NA,4,PARTIDO INDÍGENA COLOMBIANO P.I.C,4,43,48.0,91.0,4.395604395604396
001,CALI,02,Congreso 2026,Cámara,NA,5,AFRO CYC,2,804,235.0,1039.0,0.192492781520693
001,CALI,02,Congreso 2026,Cámara,NA,5,AFROEMPRENDIMIENTO,20,804,235.0,1039.0,1.9249278152069296
001,CALI,02,Congreso 2026,Cámara,NA,5,AFROSLIBRES,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,"ASOCIACIÓN AFROCOLOMBIANA ""ASOMAKIDZON""",4,804,235.0,1039.0,0.384985563041386
001,CALI,02,Congreso 2026,Cámara,NA,5,ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,ASOCONEG,3,804,235.0,1039.0,0.28873917228103946
001,CALI,02,Congreso 2026,Cámara,NA,5,C.C. DE LA COMUNIDAD NEGRA DE LA VEREDA EL ESFUERZO,34,804,235.0,1039.0,3.2723772858517806
001,CALI,02,Congreso 2026,Cámara,NA,5,COMUNIDAD AFROCOLOMBIANA DE LA SIERRA NEVADA,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO AFROZABALETAS,2,804,235.0,1039.0,0.192492781520693
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO AFROÉTNICO DE RISARALDA,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO ALTO MIRA Y FRONTERA,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,46,804,235.0,1039.0,4.427333974975938
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE CÉRTEGUI,2,804,235.0,1039.0,0.192492781520693
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,41,804,235.0,1039.0,3.946102021174206
001,CALI,02,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO DE PIZARRO ""CONCOPI""",4,804,235.0,1039.0,0.384985563041386
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE QUINAMAYO,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO DE TRUANDO - LA TERESITA ""COCOTRUMETE""",1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO EL NARANJO,352,804,235.0,1039.0,33.87872954764196
001,CALI,02,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO INTEGRAL DE LLORÓ ""COCOILLO""",1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO KUSUTOMA - GENDE COKUMALU,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,182,804,235.0,1039.0,17.51684311838306
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,33,804,235.0,1039.0,3.1761308950914344
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO NEGROS UNIDOS,2,804,235.0,1039.0,0.192492781520693
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO NUEVA ESPERANZA,5,804,235.0,1039.0,0.4812319538017324
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO UNIÍN DEL RÍO ROSARIO,5,804,235.0,1039.0,0.4812319538017324
