territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Corregimiento Pance,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,23,41,5.0,46.0,50.0
Corregimiento Pance,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO UNIÍN DEL RÍO ROSARIO,2,41,5.0,46.0,4.3478260869565215
Corregimiento Pance,Congreso 2026,Cámara,NA,5,"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",1,41,5.0,46.0,2.1739130434782608
Corregimiento Pance,Congreso 2026,Cámara,NA,5,PARTIDO ECOLOGISTA COLOMBIANO,1,41,5.0,46.0,2.1739130434782608
Corregimiento Pance,Congreso 2026,Senado,NA,0,AHORA COLOMBIA,96,2122,29.0,2151.0,4.463040446304045
Corregimiento Pance,Congreso 2026,Senado,NA,0,ALIANZA POR COLOMBIA,127,2122,29.0,2151.0,5.904230590423059
Corregimiento Pance,Congreso 2026,Senado,NA,0,COALICIÓN CAMBIO RADICAL - ALMA,94,2122,29.0,2151.0,4.370060437006043
Corregimiento Pance,Congreso 2026,Senado,NA,0,COALICIÓN FUERZA CIUDADANA,10,2122,29.0,2151.0,0.46490004649000466
Corregimiento Pance,Congreso 2026,Senado,NA,0,CREEMOS,1,2122,29.0,2151.0,0.046490004649000466
Corregimiento Pance,Congreso 2026,Senado,NA,0,FRENTE AMPLIO UNITARIO,34,2122,29.0,2151.0,1.5806601580660158
Corregimiento Pance,Congreso 2026,Senado,NA,0,LA LISTA DE OVIEDO - CON TODA POR COLOMBIA,5,2122,29.0,2151.0,0.23245002324500233
Corregimiento Pance,Congreso 2026,Senado,NA,0,MOVIMIENTO SALVACIÓN NACIONAL,221,2122,29.0,2151.0,10.274291027429102
Corregimiento Pance,Congreso 2026,Senado,NA,0,PACTO HISTÓRICO SENADO,380,2122,29.0,2151.0,17.666201766620176
Corregimiento Pance,Congreso 2026,Senado,NA,0,PARTIDO CENTRO DEMOCRÁTICO,839,2122,29.0,2151.0,39.00511390051139
Corregimiento Pance,Congreso 2026,Senado,NA,0,PARTIDO CONSERVADOR COLOMBIANO,47,2122,29.0,2151.0,2.1850302185030217
Corregimiento Pance,Congreso 2026,Senado,NA,0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,195,2122,29.0,2151.0,9.06555090655509
Corregimiento Pance,Congreso 2026,Senado,NA,0,PARTIDO LIBERAL COLOMBIANO,73,2122,29.0,2151.0,3.3937703393770344
Corregimiento Pance,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,1,17,4.0,21.0,4.761904761904762
